Title,Location,Salary,Description 1,Salary1,Focus,Days,Title1,Company,jobsearchrnnx2x1,Location1,Salary2,mtxxsm1,days
SailPoint Developer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,SailPoint Developer,OnDek Solutions,,"Fort Belvoir, VA",$150K - $200K (Employer est.),"Security+ certification, CISSP, or equivalent certification. A 4-year degree in Information Technology or a related field, or equivalent experience.…",4d
"Embedded Hardware Security Engineer, Mid","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Embedded Hardware Security Engineer, Mid",Booz Allen Hamilton4.2 ★,4.2 ★,"Quantico, VA",$58K - $133K (Employer est.),"That’s why we need you, an electrical engineer, with an understanding of embedded system design, mobile platforms and architecture, and hardware security……",30d+
Information Systems Security Manager II (TS/SCI),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Systems Security Manager II (TS/SCI),"Amyx, Inc.4.3 ★",4.3 ★,"Springfield, VA",$69K - $102K (Glassdoor est.),"Bachelor degree or higher from an accredited college or university (Recommend an accredited Computer Science, Cyber Security, Information Technology, Software……",30d+
Cyber Security Specialist,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Cyber Security Specialist,"Silotech Group, Inc4.4 ★",4.4 ★,"Baltimore, MD",$73K - $113K (Glassdoor est.),Bachelor’s degree in a field relevant to Information Assurance Management or 4-8 years relevant IT experience with 2-5 of those years in Information Assurance.…,2d
"Director IT Infrastructure, Operations, and Security","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Director IT Infrastructure, Operations, and Security",The Wills Group | Dash In3.5 ★,3.5 ★,"La Plata, MD",$143K - $180K (Employer est.),"Excellent written and verbal communication skills, interpersonal and collaborative skills, and the ability to communicate information security and risk-related……",9d
"Communication Security Engineer, Mid","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,"Communication Security Engineer, Mid",Booz Allen Hamilton4.2 ★,4.2 ★,"Fort Meade, MD",$58K - $133K (Employer est.),"Perform risk assessments of systems and equipment, assist engineers with identifying solutions for vulnerabilities, create and map Security Technical……",30d+
IT Security Engineer (Min 16+yrs Exp) (Hands on) (2 openings) - HYBRID,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,IT Security Engineer (Min 16+yrs Exp) (Hands on) (2 openings) - HYBRID,NextGen Solutions Corporation4.7 ★,4.7 ★,"Washington, DC",$90.00 - $125.00 Per Hour (Employer est.),The role will focus on designing and developing security architecture patterns that meet regulatory obligations and data protection requirements as well as……,8d
Information Technology Security Director,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Technology Security Director,Beebe Healthcare3.6 ★,3.6 ★,"Baltimore, MD",$72K - $112K (Glassdoor est.),"Through own research, investigations, outreach and collaborations, manage situational awareness of the dynamic cyber threat landscape and proactively implement……",19d
Digital Forensic Examiner,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Digital Forensic Examiner,Antietam Technologies Inc.,,"Germantown, MD",$105K - $115K (Employer est.),"Develops technical solutions including: information operations and analysis related to cyber security intrusions, systems & vulnerabilities, network security,……",10d
Information Systems Security Engineer - Level 1 (Dept 01),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",,security,6d,Information Systems Security Engineer - Level 1 (Dept 01),Que Technology Group4.7 ★,4.7 ★,"Fort Meade, MD",$69K - $103K (Glassdoor est.),"Four (4) years of additional ISSE experience may be substituted for a bachelor’s degree. Bachelor’s degree in Computer Science, Information Assurance,……",12d
